"","Date","Attend","HomePTS"
"135",2018-03-08,0.94,110.6
"136",2018-03-09,0.963,107.4
"137",2018-03-10,0.956,116.4
"138",2018-03-11,0.977777777777778,107.666666666667
"139",2018-03-12,0.935,108.25
"140",2018-03-13,0.946363636363636,107
"141",2018-03-14,0.98,122.5
"142",2018-03-15,0.954444444444444,109.333333333333
"143",2018-03-16,0.993333333333333,105
"144",2018-03-17,0.949090909090909,109.909090909091
"145",2018-03-18,0.9675,115.5
"146",2018-03-19,0.9425,112.25
"147",2018-03-20,0.92,102.428571428571
"148",2018-03-21,0.83125,111.375
"149",2018-03-22,0.936666666666667,113.833333333333
"150",2018-03-23,0.974,108.9
"151",2018-03-24,0.965,107.833333333333
"152",2018-03-25,0.987777777777778,104.777777777778
"153",2018-03-26,0.9,111.8
"154",2018-03-27,0.96625,104
"155",2018-03-28,0.94,107.125
"156",2018-03-29,0.898,103.8
"157",2018-03-30,0.993333333333333,103.888888888889
"158",2018-03-31,0.984,106.2
"159",2018-04-01,0.939230769230769,103.769230769231
"160",2018-04-03,0.939230769230769,108.384615384615
"161",2018-04-04,0.953333333333333,106.666666666667
"162",2018-04-05,0.963333333333333,111.5
"163",2018-04-06,0.966,105.9
"164",2018-04-07,0.955,108.5
"165",2018-04-08,0.961428571428571,110.142857142857
"166",2018-04-09,0.923333333333333,101.666666666667
"167",2018-04-10,0.97,105.666666666667
"168",2018-04-11,0.983333333333333,109.25
