Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Attend.,Capacity,Attendence
"Sat, Nov 25, 2017",7:30p,Toronto Raptors,112,Atlanta Hawks,78,12278,16739,0.73
"Sat, Nov 25, 2017",7:00p,San Antonio Spurs,106,Charlotte Hornets,86,18597,19624,0.95
"Sat, Nov 25, 2017",8:30p,Oklahoma City Thunder,81,Dallas Mavericks,97,20340,20394,1.00
"Sat, Nov 25, 2017",8:30p,New Orleans Pelicans,95,Golden State Warriors,110,19596,19596,1.00
"Sat, Nov 25, 2017",8:00p,New York Knicks,102,Houston Rockets,117,18055,18476,0.98
"Sat, Nov 25, 2017",8:00p,Boston Celtics,108,Indiana Pacers,98,16303,17923,0.91
"Sat, Nov 25, 2017",7:00p,Orlando Magic,111,Philadelphia 76ers,130,20585,20848,0.99
"Sat, Nov 25, 2017",10:00p,Los Angeles Clippers,97,Sacramento Kings,95,17583,17583,1.00
"Sat, Nov 25, 2017",9:00p,Milwaukee Bucks,108,Utah Jazz,121,17298,18306,0.94
"Sat, Nov 25, 2017",7:00p,Portland Trail Blazers,108,Washington Wizards,105,18092,20356,0.89
"Sun, Nov 26, 2017",3:30p,Miami Heat,100,Chicago Bulls,93,20928,22983,0.91
"Sun, Nov 26, 2017",6:00p,Brooklyn Nets,98,Memphis Grizzlies,88,14889,18119,0.82
"Sun, Nov 26, 2017",3:30p,Phoenix Suns,108,Minnesota Timberwolves,119,16448,18978,0.87
"Mon, Nov 27, 2017",7:30p,Detroit Pistons,118,Boston Celtics,108,18624,18624,1.00
"Mon, Nov 27, 2017",10:30p,Sacramento Kings,110,Golden State Warriors,106,19596,19596,1.00
"Mon, Nov 27, 2017",8:00p,Brooklyn Nets,103,Houston Rockets,117,16189,18476,0.88
"Mon, Nov 27, 2017",7:00p,Orlando Magic,109,Indiana Pacers,121,12501,17923,0.70
"Mon, Nov 27, 2017",10:30p,Los Angeles Lakers,115,Los Angeles Clippers,120,18086,19430,0.93
"Mon, Nov 27, 2017",7:30p,Portland Trail Blazers,103,New York Knicks,91,18409,19812,0.93
"Mon, Nov 27, 2017",7:00p,Cleveland Cavaliers,113,Philadelphia 76ers,91,20527,20848,0.98
"Mon, Nov 27, 2017",8:30p,Dallas Mavericks,108,San Antonio Spurs,115,17918,18935,0.95
"Tue, Nov 28, 2017",8:00p,Phoenix Suns,104,Chicago Bulls,99,18324,22983,0.80
"Tue, Nov 28, 2017",7:00p,Miami Heat,97,Cleveland Cavaliers,108,20562,20562,1.00
"Tue, Nov 28, 2017",8:00p,Washington Wizards,92,Minnesota Timberwolves,89,13442,18978,0.71
"Tue, Nov 28, 2017",10:00p,Milwaukee Bucks,112,Sacramento Kings,87,17583,17583,1.00
"Tue, Nov 28, 2017",10:00p,Denver Nuggets,77,Utah Jazz,106,16790,18306,0.92
"Wed, Nov 29, 2017",8:30p,Brooklyn Nets,109,Dallas Mavericks,104,19327,20394,0.95
"Wed, Nov 29, 2017",7:00p,Phoenix Suns,107,Detroit Pistons,131,18096,20491,0.88
"Wed, Nov 29, 2017",8:00p,Indiana Pacers,97,Houston Rockets,118,16760,18476,0.91
"Wed, Nov 29, 2017",10:30p,Golden State Warriors,127,Los Angeles Lakers,123,18997,18997,1.00
"Wed, Nov 29, 2017",8:00p,Minnesota Timberwolves,120,New Orleans Pelicans,102,15555,18573,0.84
"Wed, Nov 29, 2017",7:30p,Miami Heat,86,New York Knicks,115,17693,19812,0.89
"Wed, Nov 29, 2017",7:00p,Oklahoma City Thunder,108,Orlando Magic,121,17797,19171,0.93
"Wed, Nov 29, 2017",7:00p,Washington Wizards,113,Philadelphia 76ers,118,20492,20848,0.98
"Wed, Nov 29, 2017",8:30p,Memphis Grizzlies,95,San Antonio Spurs,104,18013,18935,0.95
"Wed, Nov 29, 2017",7:30p,Charlotte Hornets,113,Toronto Raptors,126,19800,20131,0.98
"Thu, Nov 30, 2017",7:30p,Cleveland Cavaliers,121,Atlanta Hawks,114,16379,16739,0.98
"Thu, Nov 30, 2017",7:30p,Philadelphia 76ers,97,Boston Celtics,108,18624,18624,1.00
"Thu, Nov 30, 2017",9:00p,Chicago Bulls,110,Denver Nuggets,111,15156,20103,0.75
"Thu, Nov 30, 2017",10:30p,Utah Jazz,126,Los Angeles Clippers,107,15139,19430,0.78
"Thu, Nov 30, 2017",10:00p,Milwaukee Bucks,103,Portland Trail Blazers,91,19459,20186,0.96
"Fri, Dec 1, 2017",8:00p,Sacramento Kings,107,Chicago Bulls,106,19268,22983,0.84
"Fri, Dec 1, 2017",8:00p,San Antonio Spurs,95,Memphis Grizzlies,79,16413,18119,0.91
"Fri, Dec 1, 2017",8:00p,Charlotte Hornets,100,Miami Heat,105,19600,20093,0.98
"Fri, Dec 1, 2017",8:00p,Minnesota Timberwolves,107,Oklahoma City Thunder,111,18203,18203,1.00
"Fri, Dec 1, 2017",7:00p,Golden State Warriors,133,Orlando Magic,112,18846,19171,0.98
"Fri, Dec 1, 2017",7:30p,Indiana Pacers,115,Toronto Raptors,120,19800,20131,0.98
"Fri, Dec 1, 2017",9:00p,New Orleans Pelicans,108,Utah Jazz,114,17725,18306,0.97
"Fri, Dec 1, 2017",7:00p,Detroit Pistons,91,Washington Wizards,109,17885,20356,0.88
"Sat, Dec 2, 2017",1:00p,Phoenix Suns,111,Boston Celtics,116,18624,18624,1.00
"Sat, Dec 2, 2017",3:00p,Atlanta Hawks,114,Brooklyn Nets,102,13949,17732,0.79
"Sat, Dec 2, 2017",7:30p,Memphis Grizzlies,111,Cleveland Cavaliers,116,20562,20562,1.00
"Sat, Dec 2, 2017",2:00p,Los Angeles Clippers,82,Dallas Mavericks,108,19245,20394,0.94
"Sat, Dec 2, 2017",9:00p,Los Angeles Lakers,100,Denver Nuggets,115,19520,20103,0.97
"Sat, Dec 2, 2017",8:30p,Sacramento Kings,104,Milwaukee Bucks,109,15581,18717,0.83
"Sat, Dec 2, 2017",7:30p,Detroit Pistons,103,Philadelphia 76ers,108,20562,20848,0.99
"Sat, Dec 2, 2017",10:00p,New Orleans Pelicans,123,Portland Trail Blazers,116,18730,20186,0.93
"Sun, Dec 3, 2017",9:30p,Houston Rockets,118,Los Angeles Lakers,95,18997,18997,1.00
"Sun, Dec 3, 2017",7:00p,Golden State Warriors,123,Miami Heat,95,19600,20093,0.98
"Sun, Dec 3, 2017",7:00p,Los Angeles Clippers,106,Minnesota Timberwolves,112,13172,18978,0.69
"Sun, Dec 3, 2017",3:30p,Orlando Magic,105,New York Knicks,100,19082,19812,0.96
"Sun, Dec 3, 2017",7:00p,San Antonio Spurs,87,Oklahoma City Thunder,90,18203,18203,1.00
"Mon, Dec 4, 2017",7:30p,Brooklyn Nets,110,Atlanta Hawks,90,12056,16739,0.72
"Mon, Dec 4, 2017",7:30p,Milwaukee Bucks,100,Boston Celtics,111,18624,18624,1.00
"Mon, Dec 4, 2017",8:00p,Cleveland Cavaliers,113,Chicago Bulls,91,21323,22983,0.93
"Mon, Dec 4, 2017",7:00p,Orlando Magic,94,Charlotte Hornets,104,14419,19624,0.73
"Mon, Dec 4, 2017",8:30p,Denver Nuggets,105,Dallas Mavericks,122,19419,20394,0.95
"Mon, Dec 4, 2017",7:00p,New York Knicks,97,Indiana Pacers,115,12018,17923,0.67
"Mon, Dec 4, 2017",8:00p,Minnesota Timberwolves,92,Memphis Grizzlies,95,14012,18119,0.77
"Mon, Dec 4, 2017",8:00p,Golden State Warriors,125,New Orleans Pelicans,115,17004,18573,0.92
"Mon, Dec 4, 2017",7:00p,Phoenix Suns,115,Philadelphia 76ers,101,20564,20848,0.99
"Mon, Dec 4, 2017",8:30p,Detroit Pistons,93,San Antonio Spurs,96,18288,18935,0.97
"Mon, Dec 4, 2017",9:00p,Washington Wizards,69,Utah Jazz,116,17227,18306,0.94
"Tue, Dec 5, 2017",8:00p,Utah Jazz,94,Oklahoma City Thunder,100,18203,18203,1.00
"Tue, Dec 5, 2017",10:00p,Washington Wizards,106,Portland Trail Blazers,92,19241,20186,0.95
"Tue, Dec 5, 2017",7:30p,Phoenix Suns,113,Toronto Raptors,126,19800,20131,0.98
"Wed, Dec 6, 2017",7:30p,Dallas Mavericks,90,Boston Celtics,97,18624,18624,1.00
"Wed, Dec 6, 2017",8:00p,Golden State Warriors,101,Charlotte Hornets,87,19334,19624,0.99
"Wed, Dec 6, 2017",7:00p,Sacramento Kings,95,Cleveland Cavaliers,101,20562,20562,1.00
"Wed, Dec 6, 2017",7:00p,Chicago Bulls,96,Indiana Pacers,98,13013,17923,0.73
"Wed, Dec 6, 2017",10:30p,Minnesota Timberwolves,113,Los Angeles Clippers,107,15951,19430,0.82
"Wed, Dec 6, 2017",8:00p,Detroit Pistons,100,Milwaukee Bucks,104,15841,18717,0.85
"Wed, Dec 6, 2017",8:00p,Denver Nuggets,114,New Orleans Pelicans,123,15353,18573,0.83
"Wed, Dec 6, 2017",7:30p,Memphis Grizzlies,88,New York Knicks,99,19812,19812,1.00
"Wed, Dec 6, 2017",7:00p,Atlanta Hawks,106,Orlando Magic,110,16167,19171,0.84
"Wed, Dec 6, 2017",8:30p,Miami Heat,105,San Antonio Spurs,117,18252,18935,0.96
"Thu, Dec 7, 2017",8:00p,Los Angeles Lakers,107,Philadelphia 76ers,104,20495,20848,0.98
"Thu, Dec 7, 2017",9:00p,Washington Wizards,109,Phoenix Suns,99,15925,18055,0.88
"Thu, Dec 7, 2017",10:30p,Houston Rockets,112,Utah Jazz,101,18306,18306,1.00
"Fri, Dec 8, 2017",7:00p,Chicago Bulls,119,Charlotte Hornets,111,14077,19624,0.72
"Fri, Dec 8, 2017",7:00p,Golden State Warriors,102,Detroit Pistons,98,20491,20491,1.00
"Fri, Dec 8, 2017",7:00p,Cleveland Cavaliers,102,Indiana Pacers,106,17032,17923,0.95
"Fri, Dec 8, 2017",8:00p,Toronto Raptors,116,Memphis Grizzlies,107,15417,18119,0.85
"Fri, Dec 8, 2017",8:00p,Dallas Mavericks,102,Milwaukee Bucks,109,15889,18717,0.85
"Fri, Dec 8, 2017",8:00p,Sacramento Kings,116,New Orleans Pelicans,109,15019,18573,0.81
"Fri, Dec 8, 2017",7:00p,Denver Nuggets,103,Orlando Magic,89,16024,19171,0.84
"Fri, Dec 8, 2017",9:30p,Boston Celtics,102,San Antonio Spurs,105,18418,18935,0.97
"Sat, Dec 9, 2017",7:30p,Orlando Magic,110,Atlanta Hawks,117,12719,16739,0.76
"Sat, Dec 9, 2017",8:00p,New York Knicks,102,Chicago Bulls,104,20149,22983,0.88
"Sat, Dec 9, 2017",7:00p,Los Angeles Lakers,110,Charlotte Hornets,99,19320,19624,0.98
"Sat, Dec 9, 2017",8:00p,Philadelphia 76ers,98,Cleveland Cavaliers,105,20562,20562,1.00
"Sat, Dec 9, 2017",3:30p,Washington Wizards,112,Los Angeles Clippers,113,15739,19430,0.81
"Sat, Dec 9, 2017",9:00p,Oklahoma City Thunder,102,Memphis Grizzlies,101,17794,18119,0.98
"Sat, Dec 9, 2017",8:30p,Utah Jazz,100,Milwaukee Bucks,117,16675,18717,0.89
"Sat, Dec 9, 2017",9:00p,San Antonio Spurs,104,Phoenix Suns,101,16575,18055,0.92
"Sat, Dec 9, 2017",10:00p,Houston Rockets,124,Portland Trail Blazers,117,19503,20186,0.97
"Sun, Dec 10, 2017",4:00p,Boston Celtics,91,Detroit Pistons,81,18776,20491,0.92
"Sun, Dec 10, 2017",5:00p,Denver Nuggets,116,Indiana Pacers,126,14587,17923,0.81
"Sun, Dec 10, 2017",7:00p,Dallas Mavericks,92,Minnesota Timberwolves,97,13094,18978,0.69
"Sun, Dec 10, 2017",7:00p,Philadelphia 76ers,124,New Orleans Pelicans,131,16878,18573,0.91
"Sun, Dec 10, 2017",7:30p,Atlanta Hawks,107,New York Knicks,111,19189,19812,0.97
"Sun, Dec 10, 2017",3:30p,Toronto Raptors,102,Sacramento Kings,87,17583,17583,1.00
"Mon, Dec 11, 2017",8:00p,Boston Celtics,85,Chicago Bulls,108,19617,22983,0.85
"Mon, Dec 11, 2017",10:30p,Portland Trail Blazers,104,Golden State Warriors,111,19596,19596,1.00
"Mon, Dec 11, 2017",8:00p,New Orleans Pelicans,123,Houston Rockets,130,18055,18476,0.98
"Mon, Dec 11, 2017",10:30p,Toronto Raptors,91,Los Angeles Clippers,96,16658,19430,0.86
"Mon, Dec 11, 2017",8:00p,Miami Heat,107,Memphis Grizzlies,82,14857,18119,0.82
"Mon, Dec 11, 2017",8:00p,Charlotte Hornets,116,Oklahoma City Thunder,103,18203,18203,1.00
"Tue, Dec 12, 2017",7:30p,Washington Wizards,98,Brooklyn Nets,103,14515,17732,0.82
"Tue, Dec 12, 2017",7:00p,Atlanta Hawks,114,Cleveland Cavaliers,123,20562,20562,1.00
"Tue, Dec 12, 2017",8:30p,San Antonio Spurs,89,Dallas Mavericks,95,19874,20394,0.97
"Tue, Dec 12, 2017",7:00p,Denver Nuggets,103,Detroit Pistons,84,15480,20491,0.76
"Tue, Dec 12, 2017",9:30p,Philadelphia 76ers,118,Minnesota Timberwolves,112,14659,18978,0.77
"Tue, Dec 12, 2017",7:00p,Los Angeles Lakers,109,New York Knicks,113,19359,19812,0.98
"Tue, Dec 12, 2017",10:00p,Phoenix Suns,92,Sacramento Kings,99,17583,17583,1.00
"Wed, Dec 13, 2017",7:30p,Denver Nuggets,118,Boston Celtics,124,18624,18624,1.00
"Wed, Dec 13, 2017",8:00p,Utah Jazz,100,Chicago Bulls,103,18102,22983,0.79
"Wed, Dec 13, 2017",9:30p,Charlotte Hornets,96,Houston Rockets,108,16509,18476,0.89
"Wed, Dec 13, 2017",7:00p,Oklahoma City Thunder,100,Indiana Pacers,95,17923,17923,1.00
"Wed, Dec 13, 2017",7:30p,Portland Trail Blazers,102,Miami Heat,95,19600,20093,0.98
"Wed, Dec 13, 2017",8:00p,Milwaukee Bucks,108,New Orleans Pelicans,115,16863,18573,0.91
"Wed, Dec 13, 2017",7:00p,Los Angeles Clippers,106,Orlando Magic,95,16011,19171,0.84
"Wed, Dec 13, 2017",9:00p,Toronto Raptors,115,Phoenix Suns,109,15517,18055,0.86
"Wed, Dec 13, 2017",7:00p,Memphis Grizzlies,87,Washington Wizards,93,15297,20356,0.75
"Thu, Dec 14, 2017",7:30p,Detroit Pistons,105,Atlanta Hawks,91,13548,16739,0.81
"Thu, Dec 14, 2017",7:30p,New York Knicks,111,Brooklyn Nets,104,17732,17732,1.00
"Thu, Dec 14, 2017",8:00p,Los Angeles Lakers,112,Cleveland Cavaliers,121,20562,20562,1.00
"Thu, Dec 14, 2017",10:30p,Dallas Mavericks,97,Golden State Warriors,112,19596,19596,1.00
"Thu, Dec 14, 2017",8:00p,Sacramento Kings,96,Minnesota Timberwolves,119,11126,18978,0.59
"Fri, Dec 15, 2017",7:30p,Utah Jazz,107,Boston Celtics,95,18624,18624,1.00
"Fri, Dec 15, 2017",7:00p,Miami Heat,104,Charlotte Hornets,98,15565,19624,0.79
"Fri, Dec 15, 2017",9:00p,New Orleans Pelicans,111,Denver Nuggets,117,17584,20103,0.87
"Fri, Dec 15, 2017",9:30p,San Antonio Spurs,109,Houston Rockets,124,18055,18476,0.98
"Fri, Dec 15, 2017",7:00p,Detroit Pistons,104,Indiana Pacers,98,14687,17923,0.82
"Fri, Dec 15, 2017",8:00p,Atlanta Hawks,94,Memphis Grizzlies,96,15803,18119,0.87
"Fri, Dec 15, 2017",8:00p,Chicago Bulls,115,Milwaukee Bucks,109,16921,18717,0.90
"Fri, Dec 15, 2017",7:00p,Portland Trail Blazers,95,Orlando Magic,88,16963,19171,0.88
"Fri, Dec 15, 2017",7:00p,Oklahoma City Thunder,119,Philadelphia 76ers,117,20612,20848,0.99
"Fri, Dec 15, 2017",7:30p,Brooklyn Nets,87,Toronto Raptors,120,19800,20131,0.98
"Fri, Dec 15, 2017",7:00p,Los Angeles Clippers,91,Washington Wizards,100,15442,20356,0.76
"Sat, Dec 16, 2017",7:00p,Portland Trail Blazers,93,Charlotte Hornets,91,16687,19624,0.85
"Sat, Dec 16, 2017",7:30p,Utah Jazz,100,Cleveland Cavaliers,109,20562,20562,1.00
"Sat, Dec 16, 2017",8:00p,Milwaukee Bucks,111,Houston Rockets,115,18055,18476,0.98
"Sat, Dec 16, 2017",9:00p,Boston Celtics,102,Memphis Grizzlies,93,17794,18119,0.98
"Sat, Dec 16, 2017",8:00p,Los Angeles Clippers,85,Miami Heat,90,19600,20093,0.98
"Sat, Dec 16, 2017",8:00p,Phoenix Suns,108,Minnesota Timberwolves,106,18109,18978,0.95
"Sat, Dec 16, 2017",7:30p,Oklahoma City Thunder,96,New York Knicks,111,19812,19812,1.00
"Sat, Dec 16, 2017",8:30p,Dallas Mavericks,96,San Antonio Spurs,98,18418,18935,0.97
"Sun, Dec 17, 2017",6:00p,Indiana Pacers,109,Brooklyn Nets,97,13934,17732,0.79
"Sun, Dec 17, 2017",4:00p,Orlando Magic,110,Detroit Pistons,114,16312,20491,0.80
"Sun, Dec 17, 2017",3:30p,Sacramento Kings,93,Toronto Raptors,108,19800,20131,0.98
"Sun, Dec 17, 2017",6:00p,Cleveland Cavaliers,106,Washington Wizards,99,20356,20356,1.00
"Mon, Dec 18, 2017",7:30p,Miami Heat,104,Atlanta Hawks,110,14227,16739,0.85
"Mon, Dec 18, 2017",8:00p,Philadelphia 76ers,115,Chicago Bulls,117,20796,22983,0.90
"Mon, Dec 18, 2017",7:00p,New York Knicks,91,Charlotte Hornets,109,15386,19624,0.78
"Mon, Dec 18, 2017",8:30p,Phoenix Suns,97,Dallas Mavericks,91,19245,20394,0.94
"Mon, Dec 18, 2017",8:00p,Utah Jazz,99,Houston Rockets,120,18055,18476,0.98
"Mon, Dec 18, 2017",7:00p,Boston Celtics,112,Indiana Pacers,111,16055,17923,0.90
"Mon, Dec 18, 2017",10:30p,Golden State Warriors,116,Los Angeles Lakers,114,18997,18997,1.00
"Mon, Dec 18, 2017",8:00p,Portland Trail Blazers,107,Minnesota Timberwolves,108,14187,18978,0.75
"Mon, Dec 18, 2017",8:00p,Denver Nuggets,94,Oklahoma City Thunder,95,18203,18203,1.00
"Mon, Dec 18, 2017",8:30p,Los Angeles Clippers,91,San Antonio Spurs,109,18418,18935,0.97
"Tue, Dec 19, 2017",8:00p,Cleveland Cavaliers,116,Milwaukee Bucks,119,18717,18717,1.00
"Tue, Dec 19, 2017",7:00p,Sacramento Kings,101,Philadelphia 76ers,95,20558,20848,0.99
"Tue, Dec 19, 2017",7:00p,New Orleans Pelicans,106,Washington Wizards,116,16529,20356,0.81
"Wed, Dec 20, 2017",7:30p,Indiana Pacers,105,Atlanta Hawks,95,14830,16739,0.89
"Wed, Dec 20, 2017",7:30p,Miami Heat,90,Boston Celtics,89,18624,18624,1.00
"Wed, Dec 20, 2017",7:30p,Sacramento Kings,104,Brooklyn Nets,99,13179,17732,0.74
"Wed, Dec 20, 2017",8:00p,Orlando Magic,94,Chicago Bulls,112,20285,22983,0.88
"Wed, Dec 20, 2017",7:00p,Toronto Raptors,129,Charlotte Hornets,111,15023,19624,0.77
"Wed, Dec 20, 2017",8:30p,Detroit Pistons,93,Dallas Mavericks,110,19580,20394,0.96
"Wed, Dec 20, 2017",9:00p,Minnesota Timberwolves,112,Denver Nuggets,104,17002,20103,0.85
"Wed, Dec 20, 2017",10:30p,Memphis Grizzlies,84,Golden State Warriors,97,19596,19596,1.00
"Wed, Dec 20, 2017",8:00p,Los Angeles Lakers,122,Houston Rockets,116,18055,18476,0.98
"Wed, Dec 20, 2017",10:30p,Phoenix Suns,95,Los Angeles Clippers,108,17151,19430,0.88
"Wed, Dec 20, 2017",8:00p,Utah Jazz,79,Oklahoma City Thunder,107,18203,18203,1.00
"Wed, Dec 20, 2017",10:00p,San Antonio Spurs,93,Portland Trail Blazers,91,19393,20186,0.96
"Thu, Dec 21, 2017",7:00p,Chicago Bulls,112,Cleveland Cavaliers,115,20562,20562,1.00
"Thu, Dec 21, 2017",8:00p,Boston Celtics,93,New York Knicks,102,19812,19812,1.00
"Thu, Dec 21, 2017",7:00p,Toronto Raptors,114,Philadelphia 76ers,109,20680,20848,0.99
"Thu, Dec 21, 2017",9:00p,Memphis Grizzlies,95,Phoenix Suns,97,16339,18055,0.90
"Thu, Dec 21, 2017",10:30p,San Antonio Spurs,89,Utah Jazz,100,18306,18306,1.00
"Fri, Dec 22, 2017",7:30p,Washington Wizards,84,Brooklyn Nets,119,15589,17732,0.88
"Fri, Dec 22, 2017",7:00p,New York Knicks,101,Detroit Pistons,104,16922,20491,0.83
"Fri, Dec 22, 2017",10:30p,Los Angeles Lakers,106,Golden State Warriors,113,19596,19596,1.00
"Fri, Dec 22, 2017",8:00p,Los Angeles Clippers,128,Houston Rockets,118,18055,18476,0.98
"Fri, Dec 22, 2017",8:00p,Dallas Mavericks,101,Miami Heat,113,19600,20093,0.98
"Fri, Dec 22, 2017",8:00p,Charlotte Hornets,104,Milwaukee Bucks,109,17018,18717,0.91
"Fri, Dec 22, 2017",8:00p,Atlanta Hawks,117,Oklahoma City Thunder,120,18203,18203,1.00
"Fri, Dec 22, 2017",7:00p,New Orleans Pelicans,111,Orlando Magic,97,18846,19171,0.98
"Fri, Dec 22, 2017",10:00p,Denver Nuggets,102,Portland Trail Blazers,85,19473,20186,0.96
"Sat, Dec 23, 2017",7:30p,Dallas Mavericks,107,Atlanta Hawks,112,13402,16739,0.80
"Sat, Dec 23, 2017",7:30p,Chicago Bulls,92,Boston Celtics,117,18624,18624,1.00
"Sat, Dec 23, 2017",7:00p,Milwaukee Bucks,106,Charlotte Hornets,111,18363,19624,0.94
"Sat, Dec 23, 2017",8:30p,Denver Nuggets,96,Golden State Warriors,81,19596,19596,1.00
"Sat, Dec 23, 2017",7:00p,Brooklyn Nets,119,Indiana Pacers,123,17107,17923,0.95
"Sat, Dec 23, 2017",9:30p,Portland Trail Blazers,95,Los Angeles Lakers,92,18997,18997,1.00
"Sat, Dec 23, 2017",8:00p,Los Angeles Clippers,112,Memphis Grizzlies,115,16844,18119,0.93
"Sat, Dec 23, 2017",8:00p,New Orleans Pelicans,109,Miami Heat,94,19600,20093,0.98
"Sat, Dec 23, 2017",9:00p,Minnesota Timberwolves,115,Phoenix Suns,106,16482,18055,0.91
"Sat, Dec 23, 2017",10:00p,San Antonio Spurs,108,Sacramento Kings,99,17583,17583,1.00
"Sat, Dec 23, 2017",5:00p,Philadelphia 76ers,86,Toronto Raptors,102,19800,20131,0.98
"Sat, Dec 23, 2017",8:00p,Oklahoma City Thunder,103,Utah Jazz,89,18306,18306,1.00
"Sat, Dec 23, 2017",7:00p,Orlando Magic,103,Washington Wizards,130,17218,20356,0.85
"Mon, Dec 25, 2017",5:30p,Washington Wizards,111,Boston Celtics,103,18624,18624,1.00
"Mon, Dec 25, 2017",3:00p,Cleveland Cavaliers,92,Golden State Warriors,99,19596,19596,1.00
"Mon, Dec 25, 2017",10:30p,Minnesota Timberwolves,121,Los Angeles Lakers,104,18997,18997,1.00
"Mon, Dec 25, 2017",12:00p,Philadelphia 76ers,105,New York Knicks,98,19812,19812,1.00
"Mon, Dec 25, 2017",8:00p,Houston Rockets,107,Oklahoma City Thunder,112,18203,18203,1.00
"Tue, Dec 26, 2017",7:00p,Toronto Raptors,93,Dallas Mavericks,98,20005,20394,0.98
"Tue, Dec 26, 2017",9:00p,Utah Jazz,83,Denver Nuggets,107,17104,20103,0.85
"Tue, Dec 26, 2017",7:00p,Indiana Pacers,83,Detroit Pistons,107,20491,20491,1.00
"Tue, Dec 26, 2017",10:30p,Sacramento Kings,95,Los Angeles Clippers,122,16393,19430,0.84
"Tue, Dec 26, 2017",7:30p,Orlando Magic,89,Miami Heat,107,19600,20093,0.98
"Tue, Dec 26, 2017",8:00p,Chicago Bulls,115,Milwaukee Bucks,106,18717,18717,1.00
"Tue, Dec 26, 2017",9:00p,Memphis Grizzlies,97,Phoenix Suns,99,17105,18055,0.95
"Tue, Dec 26, 2017",8:30p,Brooklyn Nets,97,San Antonio Spurs,109,18492,18935,0.98
"Wed, Dec 27, 2017",7:30p,Washington Wizards,99,Atlanta Hawks,113,15763,16739,0.94
"Wed, Dec 27, 2017",8:00p,New York Knicks,87,Chicago Bulls,92,21883,22983,0.95
"Wed, Dec 27, 2017",7:00p,Boston Celtics,102,Charlotte Hornets,91,19611,19624,1.00
"Wed, Dec 27, 2017",10:30p,Utah Jazz,101,Golden State Warriors,126,19596,19596,1.00
"Wed, Dec 27, 2017",7:00p,Dallas Mavericks,98,Indiana Pacers,94,17923,17923,1.00
"Wed, Dec 27, 2017",10:30p,Memphis Grizzlies,109,Los Angeles Lakers,99,18997,18997,1.00
"Wed, Dec 27, 2017",8:00p,Denver Nuggets,125,Minnesota Timberwolves,128,18978,18978,1.00
"Wed, Dec 27, 2017",8:00p,Brooklyn Nets,113,New Orleans Pelicans,128,16707,18573,0.90
"Wed, Dec 27, 2017",8:00p,Toronto Raptors,107,Oklahoma City Thunder,124,18203,18203,1.00
"Wed, Dec 27, 2017",10:00p,Cleveland Cavaliers,95,Sacramento Kings,109,17583,17583,1.00
"Thu, Dec 28, 2017",8:00p,Houston Rockets,98,Boston Celtics,99,18624,18624,1.00
"Thu, Dec 28, 2017",8:00p,Minnesota Timberwolves,96,Milwaukee Bucks,102,18717,18717,1.00
"Thu, Dec 28, 2017",7:00p,Detroit Pistons,89,Orlando Magic,102,18846,19171,0.98
"Thu, Dec 28, 2017",10:30p,Philadelphia 76ers,110,Portland Trail Blazers,114,20104,20186,1.00
"Thu, Dec 28, 2017",8:30p,New York Knicks,107,San Antonio Spurs,119,18935,18935,1.00
"Fri, Dec 29, 2017",8:00p,Indiana Pacers,107,Chicago Bulls,119,21178,22983,0.92
"Fri, Dec 29, 2017",10:30p,Charlotte Hornets,111,Golden State Warriors,100,19596,19596,1.00
"Fri, Dec 29, 2017",10:30p,Los Angeles Clippers,121,Los Angeles Lakers,106,18997,18997,1.00
"Fri, Dec 29, 2017",8:00p,Brooklyn Nets,111,Miami Heat,87,19600,20093,0.98
"Fri, Dec 29, 2017",8:00p,Dallas Mavericks,128,New Orleans Pelicans,120,16878,18573,0.91
"Fri, Dec 29, 2017",8:00p,Milwaukee Bucks,97,Oklahoma City Thunder,95,18203,18203,1.00
"Fri, Dec 29, 2017",10:00p,Phoenix Suns,111,Sacramento Kings,101,17583,17583,1.00
"Fri, Dec 29, 2017",7:30p,Atlanta Hawks,98,Toronto Raptors,111,19800,20131,0.98
"Fri, Dec 29, 2017",7:00p,Houston Rockets,103,Washington Wizards,121,20356,20356,1.00
"Sat, Dec 30, 2017",7:30p,Portland Trail Blazers,89,Atlanta Hawks,104,15877,16739,0.95
"Sat, Dec 30, 2017",9:00p,Philadelphia 76ers,107,Denver Nuggets,102,19599,20103,0.97
"Sat, Dec 30, 2017",7:00p,San Antonio Spurs,79,Detroit Pistons,93,19671,20491,0.96
"Sat, Dec 30, 2017",8:30p,Memphis Grizzlies,128,Golden State Warriors,141,19596,19596,1.00
"Sat, Dec 30, 2017",7:00p,New York Knicks,105,New Orleans Pelicans,103,16947,18573,0.91
"Sat, Dec 30, 2017",7:00p,Miami Heat,117,Orlando Magic,111,18846,19171,0.98
"Sat, Dec 30, 2017",8:00p,Cleveland Cavaliers,101,Utah Jazz,104,18306,18306,1.00
"Sun, Dec 31, 2017",5:30p,Brooklyn Nets,105,Boston Celtics,108,18624,18624,1.00
"Sun, Dec 31, 2017",7:00p,Los Angeles Lakers,142,Houston Rockets,148,18179,18476,0.98
"Sun, Dec 31, 2017",5:00p,Minnesota Timberwolves,107,Indiana Pacers,90,17923,17923,1.00
"Sun, Dec 31, 2017",7:00p,Charlotte Hornets,98,Los Angeles Clippers,106,17348,19430,0.89
