Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Attend.,Capacity,Attendence
"Fri, Oct 27, 2017",7:30p,Denver Nuggets,105,Atlanta Hawks,100,16220,16739,0.97
"Fri, Oct 27, 2017",7:00p,Houston Rockets,109,Charlotte Hornets,93,17339,19624,0.88
"Fri, Oct 27, 2017",10:30p,Washington Wizards,117,Golden State Warriors,120,19596,19596,1.00
"Fri, Oct 27, 2017",10:30p,Toronto Raptors,101,Los Angeles Lakers,92,17876,18997,0.94
"Fri, Oct 27, 2017",8:00p,Oklahoma City Thunder,116,Minnesota Timberwolves,119,17620,18978,0.93
"Fri, Oct 27, 2017",7:30p,Brooklyn Nets,86,New York Knicks,107,19812,19812,1.00
"Fri, Oct 27, 2017",7:00p,San Antonio Spurs,87,Orlando Magic,114,17337,19171,0.90
"Sat, Oct 28, 2017",8:00p,Oklahoma City Thunder,101,Chicago Bulls,69,21706,22983,0.94
"Sat, Oct 28, 2017",8:30p,Philadelphia 76ers,112,Dallas Mavericks,110,19567,20394,0.96
"Sat, Oct 28, 2017",10:30p,Detroit Pistons,95,Los Angeles Clippers,87,17247,19430,0.89
"Sat, Oct 28, 2017",8:00p,Houston Rockets,89,Memphis Grizzlies,103,17033,18119,0.94
"Sat, Oct 28, 2017",8:00p,Boston Celtics,96,Miami Heat,90,19600,20093,0.98
"Sat, Oct 28, 2017",7:00p,Cleveland Cavaliers,101,New Orleans Pelicans,123,18539,18573,1.00
"Sat, Oct 28, 2017",10:00p,Phoenix Suns,107,Portland Trail Blazers,114,19343,20186,0.96
"Sat, Oct 28, 2017",9:00p,Los Angeles Lakers,81,Utah Jazz,96,18306,18306,1.00
"Sun, Oct 29, 2017",3:30p,Milwaukee Bucks,117,Atlanta Hawks,106,14014,16739,0.84
"Sun, Oct 29, 2017",6:00p,Denver Nuggets,124,Brooklyn Nets,111,14854,17732,0.84
"Sun, Oct 29, 2017",6:00p,Orlando Magic,113,Charlotte Hornets,120,15531,19624,0.79
"Sun, Oct 29, 2017",7:00p,New York Knicks,114,Cleveland Cavaliers,95,20562,20562,1.00
"Sun, Oct 29, 2017",8:30p,Detroit Pistons,115,Golden State Warriors,107,19596,19596,1.00
"Sun, Oct 29, 2017",4:30p,San Antonio Spurs,94,Indiana Pacers,97,15013,17923,0.84
"Sun, Oct 29, 2017",6:00p,Washington Wizards,110,Sacramento Kings,83,17583,17583,1.00
"Mon, Oct 30, 2017",7:30p,San Antonio Spurs,94,Boston Celtics,108,18624,18624,1.00
"Mon, Oct 30, 2017",8:00p,Philadelphia 76ers,115,Houston Rockets,107,16714,18476,0.90
"Mon, Oct 30, 2017",10:30p,Golden State Warriors,141,Los Angeles Clippers,113,19068,19430,0.98
"Mon, Oct 30, 2017",8:00p,Charlotte Hornets,104,Memphis Grizzlies,99,15771,18119,0.87
"Mon, Oct 30, 2017",7:30p,Minnesota Timberwolves,125,Miami Heat,122,19600,20093,0.98
"Mon, Oct 30, 2017",8:00p,Orlando Magic,115,New Orleans Pelicans,99,14004,18573,0.75
"Mon, Oct 30, 2017",7:30p,Denver Nuggets,110,New York Knicks,116,19812,19812,1.00
"Mon, Oct 30, 2017",10:00p,Toronto Raptors,99,Portland Trail Blazers,85,18505,20186,0.92
"Mon, Oct 30, 2017",9:00p,Dallas Mavericks,89,Utah Jazz,104,16221,18306,0.89
"Tue, Oct 31, 2017",7:30p,Phoenix Suns,122,Brooklyn Nets,114,12936,17732,0.73
"Tue, Oct 31, 2017",7:00p,Sacramento Kings,83,Indiana Pacers,101,12245,17923,0.68
"Tue, Oct 31, 2017",10:30p,Detroit Pistons,93,Los Angeles Lakers,113,17569,18997,0.92
"Tue, Oct 31, 2017",8:00p,Oklahoma City Thunder,110,Milwaukee Bucks,91,16713,18717,0.89
"Wed, Nov 1, 2017",7:30p,Sacramento Kings,86,Boston Celtics,113,18624,18624,1.00
"Wed, Nov 1, 2017",7:00p,Milwaukee Bucks,121,Charlotte Hornets,126,15655,19624,0.80
"Wed, Nov 1, 2017",7:00p,Indiana Pacers,124,Cleveland Cavaliers,107,20562,20562,1.00
"Wed, Nov 1, 2017",9:00p,Toronto Raptors,111,Denver Nuggets,129,14072,20103,0.70
"Wed, Nov 1, 2017",10:30p,Dallas Mavericks,98,Los Angeles Clippers,119,13487,19430,0.69
"Wed, Nov 1, 2017",8:00p,Orlando Magic,101,Memphis Grizzlies,99,15434,18119,0.85
"Wed, Nov 1, 2017",7:30p,Chicago Bulls,91,Miami Heat,97,19600,20093,0.98
"Wed, Nov 1, 2017",8:00p,Minnesota Timberwolves,104,New Orleans Pelicans,98,14788,18573,0.80
"Wed, Nov 1, 2017",8:00p,Houston Rockets,119,New York Knicks,97,18320,19812,0.92
"Wed, Nov 1, 2017",7:00p,Atlanta Hawks,109,Philadelphia 76ers,119,20549,20848,0.99
"Wed, Nov 1, 2017",9:00p,Portland Trail Blazers,103,Utah Jazz,112,16685,18306,0.91
"Wed, Nov 1, 2017",7:00p,Phoenix Suns,122,Washington Wizards,116,14790,20356,0.73
"Thu, Nov 2, 2017",10:30p,Los Angeles Lakers,110,Portland Trail Blazers,113,19469,20186,0.96
